,company,country,description,location,review,salary,star,title
8,Sainsburys,United Kingdom,"Raise awareness of Data Science in Sainsbury’s and our data community. Curiosity, scepticism and attention to detail regarding data, data quality, samples, bias...",London,3007,None,43.8,Data Scientist
9,Hitachi Consulting UK Limited,United Kingdom,Research and/or development experience in working with large data sets. The growth of big data means that our customers are looking to derive further insight...,London,123,None,43.2,Data Scientist
0,News UK,United Kingdom,"Data Scientist - Advertising Science. Data Technology is a multi-disciplinary team that includes data engineers, data scientists and data product development...",London,18,None,51.6,Data Scientist
1,UBS,United Kingdom,Experience in data visualization and data driven machine learning applications. Work to identify the correct data architecture and data mappings to identify new...,London,1321,None,44.4,Enterprise Data Scientist/Strategist
2,Centrica,United Kingdom,"Data Scientist R9934881’ in the subject title. British Gas, Direct Energy (North America)....",London,46,None,51.6,Data Scientist
3,Felcana,United Kingdom,"We are on the hunt for a Data Scientist who will manage the collection, storing and processing of huge data sets....",London,None,None,None,Data Scientist
4,AKQA,United Kingdom,"Data visualization, data mining and predictive modelling. As a Data Scientist at AKQA, you will support our clients during their data-driven transformation...",London,14,None,43.2,Data Scientist
6,SAS Institute,United Kingdom,We are recruiting an Analytical Consultant/Data Scientist to join our UK & Ireland consulting team to work on big data and analytics projects using our industry...,London,95,None,51.0,Data Scientist
7,Liberty Global,United Kingdom,"Partner with data engineering teams to improve data as an asset of the business. Conduct research and development activities, data exploration and discovery,...",London,19,None,43.2,Data Scientist
8,CGI,United Kingdom,By leveraging broad data science techniques you will help deliver data driven-insights for our customers across industries and projects....,London,1409,None,43.2,Data Scientist
9,Schibsted Media Group,United Kingdom,"Teams we are building right now, that you could join as a Data Scientist; At Schibsted that means that data scientists work in cross-functional teams with...",London,None,None,None,Data Scientist
0,Celtra Inc.,United Kingdom,"Minimum 3 years experience as a data scientist preferably within behavior research, media, or digital advertising fields....",London,None,None,None,Data Scientist
2,PA Consulting Group,United Kingdom,"PA is looking to hire Data Scientists into their Technology team. PA’s Data Science stack:. Our Data Scientists work with cutting edge tools, platforms and...",Cambridgeshire,22,None,51.0,Data Scientists - Consultants - Technology - UK
3,Sainsburys,United Kingdom,"Choice of Data Science techniques and technologies to apply in collaboration with Senior Data Scientist. Curiosity, scepticism and attention to detail regarding...",London,3007,None,43.8,Associate Data Scientist
4,Walt Disney International,United Kingdom,"If you are looking for a role that will allow you to apply theoretical, mathematical models to real-world data and communicate concepts and results to business...",London,4718,None,52.8,Internship: Business Intelligence - 2018/19
5,None,United Kingdom,"Junior Data Scientist. Junior Data Scientists or graduates in a relevant field with skills in Hadoop, implementation and development of big data, data...",West London,None,None,None,"Junior Data Scientist - South East, UK"
6,Aviva,United Kingdom,We have a number of roles available working in ‘The Lab’ for Data Scientists and Lead Data Scientists. You’re not just a Data Scientist....,Norwich,746,"£43,000 a year",44.4,Data Scientist
7,BOEING,United Kingdom,"Oxfordshire,United Kingdom,United Kingdom 6J7BX4 Insitu Overview: Insitu is an industry-leading provider of information for superior decision making. We...",Oxfordshire,4231,None,51.0,Machine Learning Scientist
8,Evidera,United Kingdom,"Data Scientist – Pharmaceutical and Biotech Industry (Real-World Evidence) - London. Experience in quantitative methods in epidemiology, statistics, health...",London,7,None,44.4,Data Scientist – Pharmaceutical and Biotech Industry (Real-World Evidence)
0,Sky,United Kingdom,"Within a large and successful media organization, the Data Scientist will sit within a new Data Strategy and Innovation team tasked with unlocking value...",Middlesex,93,None,42.6,Data Scientist
1,Santander,United Kingdom,"As a Data Scientist your main responsibilities will be. We have an exciting opportunity for a Data Scientist, Internal Audit Data Analytics within our diverse,...",London,922,"£40,000 - £44,999 a year",51.0,"Data Scientist, Internal Audit Data Analytics â€“ Triton Square"
2,Facebook,United Kingdom,+ Data Infrastructure. The Data Scientist Analytics role has work across the following four areas:. 21st September 2017 Apply your expertise in quantitative...,London,203,None,52.2,"Data Scientist, Product"
3,Barclays,United Kingdom,"Manage and mentor a team of data scientists and data engineers, and work closely with the product development organization. Head of Data Science....",London,3443,None,51.0,Head of Data Science
4,Dixons Carphone,United Kingdom,Insight Analyst - Data Scientist - Statistical modelling. Experience analysing and applying statistical modelling to large data sets....,Acton,339,None,32.4,Junior Data Scientist
5,Babraham Bioscience Technologies Ltd,United Kingdom,"Scientist / Senior Scientist, Medicinal Chemistry. Undertaking critical analysis of all available data e.g. SAR, ADME, PK data;...",Cambridge,None,None,None,"Scientist / Senior Scientist, Medicinal Chemistry - Proximagen"
6,Forward3D,United Kingdom,Working with our Principal Data Scientist to develop our data science product set and grow the department within the agency....,London,3,None,52.8,Data Scientist (Mid-Level)
8,Guardian News & Media,United Kingdom,You will also lead and inspire a team of data scientists to produce excellent outputs through effective leadership and management....,London,None,None,None,Head of Data Science
9,RBS,United Kingdom,Engaging the existing Data Scientist and Data Analyst community to identify and deliver opportunities to support the bank’s strategic direction through the...,London,2128,None,44.4,Head of Data Science
0,ThoughtWorks,United Kingdom,"As a Lead Data Scientist, here’s what you can do at ThoughtWorks:. We are now looking for a Lead Data Scientist with 5+ years of experience to include 3+ years...",London,50,None,52.8,Lead Data Scientist
1,Aviva,United Kingdom,"Become a Data Scientist With Aviva. WHAT IS DATA SCIENCE? In fact, our Data Scientists make a vital difference to the business and help us change outcomes every...",Norwich,746,"£18,000 a year",44.4,Apprenticeship Data Science
3,UBS,United Kingdom,"Outstanding data skills (Excel, SQL, Data Visualization). Are you passionate about data and how it can be used in investing?...",London,1321,None,44.4,AI/Machine Learning Quantitative Researcher - Global Equities
5,Imperial College London,United Kingdom,"We seek a talented Biostatistician with expertise in the analysis and interpretation of complex biomedical data, including multi-omics data to join the...",London,75,"£53,400 a year",52.8,Data-Scientist (Bioinformatics/Biostatistics/Computational Biology)
6,Networkers,United Kingdom,"Data Scientist - Lab Consultant. Initially, we are looking for 3 Data Scientists at Senior Consultant, Manager, and Senior Manager grades....",London,10,"£70,000 - £120,000 a year",51.0,Data Scientist - Lab Consultant
7,None,United Kingdom,Technical Team Lead - Machine Learning and AI London Very competitive Are you a Machine Learning and AI expert? Have you been building your career in this...,South East,None,None,None,Machine Learning and AI
8,University of Oxford,United Kingdom,"And, collaborating with other data scientist around the world on analyses of open datasets. Using both web service and standard data science toolkits;...",Oxford,35,"£31,604 - £38,833 a year",54.0,Data Scientist in App-based Signal Processing
9,Diamond Light Source,United Kingdom,We are eager for a data analysis scientist to join our team to expertly analyse data acquired by our nano-metrology instruments....,Didcot,3,"£32,805 - £38,593 a year",40.8,Data Analysis Scientist
0,Aimia,United Kingdom,An exciting opportunity for a Data Scientist has become available to join our Analytics team here in London....,London,74,None,42.6,Data Scientist
1,Linking Humans,United Kingdom,"Data Scientist - Data Scientist Jobs, Data Science Jobs, Statistical modelling, R programming, Bayesian Statistics, Bayesian Inference, Monte Carlo Markov Chain...",Southampton,None,"£50,000 - £60,000 a year",None,Data Scientist - largest supermarket chain
2,Bristol-Myers Squibb,United Kingdom,Scientist – Centre of Observational Research and Data Science. Collaborate with the data development team to identify and deliver appropriate data resources for...,Uxbridge,995,None,52.2,"Scientist, Centre for Observational Research and Data Science"
4,G-Research,United Kingdom,"You will use the latest techniques in the field to extract deep insights from big data. The textbook methods rarely work on our data, and you will need to...",London,None,None,None,Quantitative Researcher in Machine Learning
5,Aldermore,United Kingdom,"Data Scientist - (170000E6). The Data Scientist will act as a passionate data ambassador and will demonstrate the organisation’s values– Reliable, Expert,...",Reading,2,None,42.0,Data Scientist
6,CH2M,United Kingdom,"As our data scientist, you will provide expertise on mathematical concepts for the broader applied analytics team and inspire the adoption of advanced analytics...",Swindon SN4,546,None,43.8,"Data Scientist - Swindon, UK"
8,None,United Kingdom,Key skills as a Data Scientist:. Seeking Data Scientists to join a company on the pursuit to detect disease at an early stage through data analysis and the...,Cambridge,None,None,None,"Data Scientist - Cambridge, UK"
9,Michael Page UK,United Kingdom,Develop Data Products:. Obtain insights from data:. Process and verify the integrity of data. Deploy the solutions via dashboards or data products....,West End,157,None,42.0,Graduate Data Scientist
0,Castleton Commodities International,United Kingdom,"Castleton Commodities International (www.cci.com) is hiring a Associate, Quantitative Analyst to join the Risk/Quantitative modeling team in Stamford. This...",London,5,None,43.8,"Associate, Quantitative Analyst"
1,Microsoft,United Kingdom,"Experience leading teams of data scientists, ML scientists, solution architects, developers etc. We are looking for a data scientist lead who is passionate...",London,3516,None,52.2,Principal Data Science Lead - Microsoft
2,FUTRLI,United Kingdom,Proven track record designing and implementing data models. 5+ years experience in the field of data science/informatics....,Brighton and Hove,None,None,None,Data Scientist
3,15Gifts Ltd,United Kingdom,"What we need is a creative, bright and enthusisatic data scientist to help use that data to build products which directly influence people's decision making....",Brighton and Hove,None,None,None,Data Scientist - Python
4,Networkers,United Kingdom,Data Analytics Architect/Data Scientist- Guildford or Newcastle. Design Effective data architecture and technology infrastructure to support data analytical...,Guildford,10,"£60,000 - £70,000 a year",51.0,Data Analytics Architect/Data Scientist
5,ARM Ltd.,United Kingdom,"Skills and experience that we look for in a successful Graduate Data Scientist include:. It does this by applying a mixture of Data Science, Data Engineering...",Cambridge,None,None,None,Data Scientist
8,ClearCube Consulting,United Kingdom,"Data Scientist responsibilities:. Benefits for Data Scientist include:. Data Scientist, Data Scientist,Data Scientist,Data Scientist,Data Scientist,Data...",London,None,"£90,000 a year",None,Data Scientist
9,AstraZeneca,United Kingdom,For Senior Scientist:. The Senior/Principal Data Scientist within the Quantitative Sciences group in Biopharmaceutical Development (BPD) department is...,Cambridgeshire,1188,None,51.6,"Senior/Principal Data Scientist, Quantitative Sciences"
0,British Gas,United Kingdom,"Data Scientist R9932425’ in the subject title. We are looking for an experienced Data Scientist to join the Data Science Team @ Connected Home, Centrica....",Cambridge,816,None,44.4,Data Scientist
2,Spring,United Kingdom,Spring Technology's notable client based in Cambridge are looking for a Junior Data Scientist to join on an initial 6 month contract....,Cambridge,29,£450 a day,42.6,Junior Data Scientist - Cambridge - �450 per day
3,HSBC,United Kingdom,"Providing independent analysis of the assumptions underlying the proposed models, their limitations, their relevance for the proposed uses, the quality of their...",London,8330,None,51.0,"Quantitative Analyst Markets, Valuation Models (Independent Model Review)"
4,Maxeler Technologies,United Kingdom,"Due to growing demand, Maxeler Technologies is expanding it’s machine learning team in London, UK and Mountain View, California. We will enable customers to...",London,None,None,None,Machine Learning and AI Team
5,Citi,United Kingdom,"Primary Location: United Kingdom,England,London Education: Master's Degree Job Function: Trading Schedule: Full-time Shift: Day Job Employee Status: Regular...",London,11065,None,44.4,Quantitative Analyst
6,Argos,United Kingdom,"As a Data Scientist, your main responsibilities will be:. Microsoft SQL) and performing statistical analyses on large data sets of very sparse data (e.g....",Milton Keynes,2174,None,43.8,Data Scientist
7,Amey plc,United Kingdom,Relational data manipulation. As a data scientist with us you will develop statistically accurate and reproducible analysis with an emphasis on clear and...,London,84,None,32.4,Analytics and Data Science
3,University College London,United Kingdom,Commenced research operations in Spring 2016 bringing together world-leading scientists to investigate how brain circuits process information to generate...,London,55,"£30,000 - £40,000 a year",52.2,Research Associate (Branco Lab)
4,"Nomura Holdings, Inc.",United Kingdom,"Nomura's Global Markets Division handles client transactions for financial institutions, corporates, governments and investment funds around the world. We act...",London,314,None,44.4,"Analyst / Associate, Quantitative Research"
6,Facebook,United Kingdom,"Machine learning, recommendation systems, pattern recognition, data mining or artificial intelligence. Develop highly scalable classifiers and tools leveraging...",London,203,None,52.2,"Software Engineer, Machine Learning"
7,The Stars Group,United Kingdom,The Stars Group are looking for a talented Data Scientist to join its Business Intelligence Team. Experience working with a Data Warehouse....,London,None,None,None,Data Scientist
8,Funding Circle UK,United Kingdom,"In a quantitative field (Statistics, Mathematics, Data Science, Engineering etc.). You will research new data sources and new modelling techniques, helping...",London,None,None,None,Data Scientist
0,Networking People,United Kingdom,"Minimum of 3 years' data scientist commercial/industry experience. NP Group are working with a leading, global data science consultancy who are looking for a...",London,None,"£80,000 a year",None,Data Scientist
1,Square One Resources,United Kingdom,"Data Scientist – (Java/Python) – (R/SAS/SPSS) – West London - £50,000 + Benefits. This is where decision scientists deliver....",London,5,"£45,000 - £50,000 a year",53.4,Data Scientist
2,Data Idols,United Kingdom,Our London based client is seeking a Lead Data Scientist on a permanent basis. This is the ideal opportunity for a Senior Data Scientist who is looking to take...,London,None,"£65,000 - £80,000 a year",None,Data Scientist
3,Codex,United Kingdom,Data Scientist Opening – London. As Lead Data Scientist you will get the chance to work with world-class data analysts. O Experience in data modelling....,London,6,"£40,000 - £60,000 a year",51.0,Data Scientist
4,AstraZeneca,United Kingdom,"As a Senior Data Scientist, you will have:. Our career ladder includes Senior, Principal and Director-level Data Scientists....",Cambridgeshire,1188,None,51.6,Senior Data Scientist
0,Hitachi Consulting UK Limited,United Kingdom,Data Scientist (Pre-Sales). The Data Scientist will join the customer engagement team to work with prospects who are looking to engage with us around data...,London,123,None,43.2,Data Scientist (Pre-Sales)
1,ConSol Partners,United Kingdom,"Lead Data Scientist / Senior Data Scientist, NLP, Machine Learning, Central London, Start up. The successful Lead Data Scientist will researching and inventing...",London,None,"£70,000 - £90,000 a year",None,Lead Data Scientist or Senior Data Scientist
3,Google,United Kingdom,Collaborate on scalability issues involving access to massive amounts of data and information. Contribute to a wide variety of projects utilizing natural...,London,1790,None,52.8,"Summer Trainee Engineering Program, STEP 2018"
5,Department for Communities and Local Government,United Kingdom,"Managing busy data collection cycles, working with data providers to ensure robust and timely data provision....",London,6,"£49,525 a year",51.0,Grade 7 Statistician
6,Department for Communities and Local Government,United Kingdom,"Managing busy data collection cycles, working with data providers to ensure robust and timely data provision....",London,6,"£31,655 a year",51.0,HEO Statistician
7,Department for Communities and Local Government,United Kingdom,"Managing busy data collection cycles, working with data providers to ensure robust and timely data provision....",London,6,"£26,550 a year",51.0,EO Statistician
0,Jss Search Limited,United Kingdom,"They are looking to hire entrepreneurial and driven Data Scientists to work either in an internal or client focused consulting capacity, or both....",London,None,None,None,Data Scientists - Very rare opportunity
2,Amazon,United Kingdom,"Routinely build and deploy ML models on available data. Alexa, I’m looking for a job where I can build products straight out of science fiction....",Cambridge,18339,None,43.2,Research Scientist
3,Amazon,United Kingdom,"Algorithms and data structures, parsing, numerical optimization, data mining, parallel and distributed computing....",Cambridge,18339,None,43.2,Spoken Language Scientist - Intern
4,PROWLER.io,United Kingdom,We are hiring exceptional machine learning researchers to join our team of highly talented scientists and engineers....,Cambridge,None,None,None,Machine Learning Researcher
5,Microsoft,United Kingdom,Hands-on experience in data collection and experiment design for real-world machine learning applications. The application should include a curriculum vitae (CV...,Cambridge,3516,None,52.2,Researcher / Post Doc - Adaptive Machine Learning
6,Imperial College London,United Kingdom,"The Research Assistant/Research Associate will join an enthusiastic team and a wider community of research scientists, pharmaceuticals, bioinformaticians and IT...",London,75,"£32,380 - £34,040 a year",52.8,Research Assistant/Associate x 3
8,Elevate Direct,United Kingdom,"Data Scientist / London, Welwyn Garden City / 6 Months. The Data Scientist will be one of a team of people responsible for delivering insights to our internal...",London,None,None,None,Data Scientist
9,GlaxoSmithKline,United Kingdom,"Proven track record of high standards of data integrity and report writing. Ability to manage complex data sets, interpret results in the context of...",Stevenage,2537,None,52.2,Investigator
1,Willis Towers Watson,United Kingdom,We are searching for a Data Scientist with a passion for delivering innovative analytical solutions. Experience of pricing for the UK personal lines insurance...,Reigate,457,None,44.4,Data Scientist
2,Intel,United Kingdom,Job Description Intel PSG – Programmable Solutions Group (formerly Altera) is looking for an outstanding engineer who can use FPGA hardware to accelerate...,High Wycombe HP12,2766,None,52.2,Vision Processing and machine learning Engineer
4,PROWLER.io,United Kingdom,We are seeking an exceptional Data Scientist to join our Artificial Intelligence for Finance team. Experience with big data....,Cambridge,None,None,None,Data Scientist (finance)
5,SPD Development Company Ltd,United Kingdom,Define analysis plans for complex data. Monitor cloud data to identify any real-time issues. Identify and set up tools/resources required for data analysis....,Bedford MK44,None,None,None,Data Scientist
6,SDL,United Kingdom,"Hands-on experience with large-scale data processing. As a Research Scientist, you will assist in shaping the....",Cambridge CB1,39,None,43.8,Research Scientist
7,Harnham,United Kingdom,Data Scientist - Animation Start-up. Harnham are currently working with an award-winning start-up in London (Shoreditch) specialising in animation and creative...,London,None,"£100,000 a year",None,DATA SCIENTIST - ANIMATION START-UP
8,ECM Selection,United Kingdom,Evidence of applying modern data science techniques to expansive data sets or unusual / unstructured information;...,Cambridgeshire,None,"£75,000 a year",None,Data Scientists: AI / Machine Learning
0,Harnham,United Kingdom,"The Role - Data Scientist. Your Skills and Experience - Data Scientist. R, Python, SQL, Hive, Hadoop, Spark, AWS, Machine Learning, Statistics, Artificial...",London,None,"£75,000 a year",None,DATA SCIENTIST (TECH START-UP)
1,Findmypast,United Kingdom,"Senior Data Scientist. As part of the wider Data Science & Analytics team, Data Scientists at Findmypast are highly valued by stakeholders to interrogate large...",London,2,None,30.0,Senior / Lead Data Scientist
3,Bank of America,United Kingdom,Strong statistical / data analysis skills; Global Quantitative Strategies Off Cycle Analyst....,London,18605,None,44.4,Global Quantitative Strategies | Analyst Off Cycle Internship
5,Vodafone,United Kingdom,Senior Data Scientist. As Senior Data Scientist your main responsibilities will involve:. As Data Scientist your skills and qualifications will ideally include:...,London,2805,None,51.0,Senior Data Scientist
6,King.com,United Kingdom,"Working alongside other highly skilled Data Scientists and Business Analysts, you’ll be strategic in outlook and highly analytical in delivery with...",London,None,None,None,Senior Data Scientist
7,Kindred Group,United Kingdom,With this role you get the chance to be part of a growing data science team within larger analytics and data teams numbering over 70 people....,London,None,None,None,Senior Data Scientist
8,dunnhumby,United Kingdom,Senior Data Scientist. Dunnhumby is searching for a talented Senior Data Scientist to drive the utilisation of advanced analytical techniques and/or new data...,London,23,None,42.6,Senior Data Scientist
9,Badoo,United Kingdom,"Badoo is looking for a Senior Data Scientist to join our team building exciting in-house tools. Data visualisation (D3, matplotlib, seaborn)....",London,5,None,51.0,Senior Data Scientist
0,Liberty Global,United Kingdom,Experience with Return Path Data (STB data) is desirable. Partner with data engineering teams to improve data as an asset of the business.... read more,London,19,None,43.2,Senior Data Scientist
1,Sainsburys,United Kingdom,"Management of project demands, stakeholders, timelines and junior data scientists. Curiosity, scepticism and attention to detail regarding data, data quality,... read more",London,3007,None,43.8,Senior Data Scientist
2,CarTrawler,United Kingdom,Preferred data capabilities:. And targeted data analyses. Familiarity with Amazon data infrastructure. 5+ years of experience in data science and quantitative... read more,London,8,None,52.8,Senior Data Scientist
3,SDL,United Kingdom,"Hands-on experience with large-scale data processing. As a Research Scientist, you will assist in shaping the.... read more",Cambridge CB1,39,None,43.8,Research Scientist
4,Willis Towers Watson,United Kingdom,A passion for data and analytics. Working with the Data Scientist you will carry out analyses and deliver highly appealing visualisations and reports that... read more,London,457,None,44.4,Data Visualisation Analyst
5,Datatech Analytics,United Kingdom,Junior Data Scientist - £Competitive - London - J9839. Either an MSc in Data Science and relevant project/intern experience OR at least one years’ experience... read more,London,None,"£35,000 a year",None,Insight Analyst - Junior Data Scientist
6,Harnham,United Kingdom,"Junior Data Scientist SQL, SAS, R, Python - Fun/Social environment. Use web and data analytics to analyse customer data.... read more",London,None,"£30,000 a year",None,"JUNIOR DATA SCIENTIST SQL, SAS, R, PYTHON"
7,Harnham,United Kingdom,JUNIOR DATA SCIENTIST-SAS/SQL. A leading retailer is looking for an experience Junior Data Scientist to join their Customer Analytics Function.... read more,London,None,"£45,000 a year",None,JUNIOR DATA SCIENTIST– SAS/SQL
8,Ayasdi,United Kingdom,"As a Data Scientist at Ayasdi, you will be solving some of the most complex problems with the most revolutionary analytical platform.... read more",London,None,None,None,Data Scientist (Financial Services)
9,EMBL,United Kingdom,Define guidelines and documentation to help interpret the data; The ideal candidate must be comfortable working in a UNIX/Linux environment and have experience... read more,Hinxton,5,None,53.4,Bioinformatician
0,Amazon Instant Video Limited,United Kingdom,This position will suit a Data Scientist or Machine Learning professional who has experience working in rapidly evolving digital business models....,London,None,None,None,Sr Data Scientist
1,IHS Markit,United Kingdom,Experience with data manipulation tools:. Our Quantitative Research group is expanding and we are looking for a Data Scientist/Developer with experience in...,London,143,None,43.2,Data Scientist
2,Amazon,United Kingdom,This position will suit a Data Scientist or Machine Learning professional who has experience working in rapidly evolving digital business models....,London,18339,None,43.2,Sr Data Scientist
4,University College London,United Kingdom,"A track record of publishing in top machine learning, data mining or information retrieval conferences (e.g....",London,55,"£30,000 - £39,999 a year",52.2,Research Assistant in Data Mining/Machine Learning
0,JP Morgan Chase,United Kingdom,Corporate – Risk - Quantitative Analyst - Model Validation – VP – London Job Description Model Risk Group (MRG) carries out the review of models used across...,London E14,14843,None,44.4,Corporate - Risk - Quantitative Analyst – Model Validation – VP
3,Harvard Associates Ltd,United Kingdom,Our Financial Services client is looking for a Data Scientist. Data Scientist (Banking) – £Market Rate + Benefits – Reading....,Reading,None,None,None,Data Scientist – £competitive salary + excellent benefits
5,Man,United Kingdom,About Man AHL Man AHL is a diversified quantitative investment manager dedicated to delivering a broad and innovative offering in alternative and long only...,London,25,None,52.2,FX Quantitative Analyst
6,UBS,United Kingdom,Are you an expert in analytics? Do you know how to work well within a team and deliver sophisticated solutions? We’re looking for someone like that who can...,London,1321,None,44.4,Equities Quantitative Analyst
7,Elsevier,United Kingdom,"Close work with the Customer Data team. Full understanding of defining, extracting, creating and analyzing data....",London,225,None,42.6,Marketing Communication Analyst
8,M&G Group,United Kingdom,Ability to create and use financial models of economic variables and asset prices to understand statistical behaviour of historical data....,London,None,None,None,Multi-Asset Quantitative Analyst - PPMG
0,QuintilesIMS,United Kingdom,"Data Science Developer. You will have had some commercial experience of data exploration, cleansing, and the processing of messy data and experience working...",London,913,None,44.4,Data Scientist
1,Teradata,United Kingdom,"The Senior Data Scientist will:. Have experience mentoring Junior Data Scientists. As the first and only pure-play big data services firm, our Data Scientists,...",London,105,None,44.4,Think Big Senior Data Scientist
2,BNY Mellon,United Kingdom,"Knowledge of data modeling, data cleansing, and data enrichment techniques. An understanding of data protection and data governance principles....",London,2594,None,42.6,Markets Quantitative Analyst I
3,University College London,United Kingdom,"Develop and implement assays, provide screening assays and generate quality data to enable progression of drug discovery programmes towards the delivery of lead...",London,55,"£40,000 - £49,999 a year",52.2,Senior Research Associate/Principal Research Associate
5,Springer Nature,United Kingdom,"Support the running of a proactive and reactive press office function, in particular by taking a lead on daily news monitoring, conducting background research,...",London,24,None,52.2,"Communications Assistant, Research"
6,William Hill,United Kingdom,"You’ll work with Data Scientists, CRM Analysts, Product Owners and senior stakeholders. Improve our customer experience through data analysis, optimization and...",Shoreditch,523,None,39.0,Digital Analyst - Sports
9,King.com,United Kingdom,"You will be part of the community of 100+ business intelligence & analytics experts at King, while working on a daily basis in smaller teams of 4-5 people,...",London,None,None,None,Data Analyst
0,Worldpay,United Kingdom,"Being a great senior level data scientist involves inspiring colleagues and being a thought leader in new, innovative ways to solve real-world problems....",London,131,None,40.2,Senior Data Scientist
1,Springer Nature,United Kingdom,"Uploading files and data to the press site and to a separate content-management system. Every day, around the globe, our imprints, books, journals and resources...",London,24,None,52.2,Press Office Assistant
3,Datatech Analytics,United Kingdom,Freelance Data Scientist – Negotiable Day Rate - London – J9477. Due to a large key client project they have an immediate need for a Freelance Data Scientist to...,London,None,None,None,Freelance Junior Data Scientist
4,Pricing & Insight,United Kingdom,Data & Analytics. Do you want to learn from some of the leading experts in insurance pricing who will develop your existing skills and teach you techniques at...,Peterborough,None,None,None,Statistician
5,Time Inc,United Kingdom,"Where necessary, develop new data and information streams to support key initiatives and objectives. We work with internationally recognised brands such as NME,...",London,253,None,44.4,International Business Development Manager
8,Tria Recruitment,United Kingdom,"Data Scientist - Oxfordshire Based. We are looking for someone who has worked with large amounts of data and is proficient with R & Python, Machine learning,...",Oxfordshire,None,"£40,000 - £45,000 a year",None,Data Scientist
