,company,country,description,location,review,salary,star,title
4,Pharmaceutical & Medical Professionals,Australia,"A world-wide company working with scientists and researchers in more than 50 countries. Good ability to read, comprehend and assimilate into communication...",Sydney NSW,None,None,None,Technical Customer Service Associate - West Ryde
5,Pharmaceutial & Medical Professionals,Australia,"A world-wide company working with scientists and researchers in more than 50 countries. Good ability to read, comprehend and assimilate into communication...",Sydney NSW,None,None,None,Technical Customer Service Associate - West Ryde
6,Western Sydney Local Health District,Australia,Data management and analysis of polysomnograms and CPAP download data. Demonstrated experience with sleep-related software and electronic data management....,Mount Druitt NSW,None,None,None,Hospital Scientist Sleep Medicine
7,Hays,Australia,Data Analytics and/or Machine Learning exp will be highly regarded. You will join a brand new Sydney office as a senior technical consultant providing Java...,Sydney Central Business District NSW,466,None,42.6,"Senior Consultants - Java , Machine Learning"
8,Goldman Sachs,Australia,"Our analysts work on client-focused research in the equity, fixed-income, currency, and commodities markets, mining big data that enters markets around the...",Sydney NSW,923,None,51.6,"Global Investment Research, Consumer Writing Analyst, Vice President/Executive Director - Sydney/Melbourne"
9,Goldman Sachs,Australia,"Develop financial models and interpret data and analysis on market, economic and political events. Our analysts work on client-focused research in the equity,...",Sydney NSW,923,None,51.6,"Global Investment Research, Healthcare Writing Analyst, Vice President/Executive Director - Sydney/Melbourne"
5,Freelancer.com,Australia,"If this sounds like you, you will love life as a data scientist at Freelancer. We have a team of data scientists across three offices, with backgrounds in...",Sydney NSW,73,None,52.2,Data Scientist
7,Black Swallow Boutique,Australia,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",Alexandria NSW,None,None,None,Data Scientist
8,Deputy.com,Australia,Work with our in-house data scientist to build out and maintain our native BI platform. 1-4 years experience with data analysis....,Sydney NSW,2,None,60.0,Data Analyst
2,THE ICONIC,Australia,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",Sydney NSW,7,None,53.4,Data Scientist - Data Platform Focus
3,General Assembly,Australia,"Data visualization techniques; Data Science Instructor Overview. Manipulation of large data sets; You are eager to shape the skills, minds, and trajectories of...",Sydney NSW,111,None,52.8,Part Time Data Science Instructor
5,QuantumBlack,Australia,"Collaborate with our data scientists to map data fields to hypotheses and curate, wrangle, and prepare data for use in their advanced analytical models....",Sydney NSW,None,None,None,Senior Data Engineer
6,SafetyCulture,Australia,Work with our Data Scientist to build predictive models on conversion and LTV. Business intelligence & data viz tools....,Sydney NSW,None,None,None,Growth Analyst
7,General Assembly,Australia,"We are looking for a Data Scientist to teach our brand new full time class:. You are eager to shape the skills, minds, and trajectories of the newest generation...",Sydney NSW,111,None,52.8,Lead Data Science Immersive Instructor
0,Just Digital People,Australia,Data Scientist - Machine Learning - AI Up to $130k + Super. You as the Data Scientist will be working within the Product Team leading the platform’s ad serving...,Sydney NSW,None,"$110,000 - $130,000 a year",None,Data Scientist - Mobile Ad Serving Exp Needed
1,Pivotal Software,Australia,"Work alongside Data Scientists and other consultants on client projects, as appropriate. Experience with In Memory Data Grid technologies - particularly GemFire...",Sydney NSW,10,None,51.0,Senior Platform Architect (Big Data)
2,Correlate Resources,Australia,Due to the ongoing success of the business two brand new positions have been created for experienced Digital Insights - Data Scientist to join the Sydney based...,Sydney NSW,None,"$110,000 - $140,000 a year",None,Digital Insights - Data Scientist
4,TraderNote Pty Ltd,Australia,"TraderNote is looking for an Equities and Derivatives Research Analyst Intern . During the 8-12 week internship, you will have the opportunity to be a...",Sydney NSW,None,None,None,Research Analyst Intern
5,PHASTAR,Australia,Our approach ensures high quality consulting and data analysis. PHASTAR have a unique approach to statistical consulting and data analysis....,Sydney NSW,None,None,None,Statistician
6,Kaliba,Australia,"With over 100% growth over the past couple of years, they are looking at adding a Data Scientist to their team in Sydney....",Sydney NSW,None,None,None,Data Scientist - US Headquartered Big Data Vendor
2,Bluefin Resources,Australia,"Along with supporting the Data Scientists, SMEs, Data Stewards and other team members to achieve the project outcomes....",Sydney NSW,None,$700 a day,None,Data Analyst
3,Laverty Pathology,Australia,"First stage Data Entry. We provide hands on training, career development and the opportunity to work with leading pathologists and scientists....",North Ryde NSW,17,None,43.8,Stores Person/Administrator
5,Harvey Nash,Australia,3+ years of relevant work experience in a data scientist role. Leverage existing data and new data from IoT to develop insights for the business....,Sydney NSW,22,None,43.2,Data Scientist - 6 month contract - Greenfield logistics project
5,The Garvan Institute of Medical Research,Australia,Strong expertise in clinical interpretation of genomic data. The Garvan Institute is one of Australia’s leading medical research institutions with approximately...,Darlinghurst NSW,None,None,None,Head of Translational Genome Informatics
7,Talent Insights Group,Australia,We are seeking a senior data scientist with strong modelling and data mining experience in insurance/finance– preferably with qualifications in actuarial...,Sydney NSW,None,"$140,000 a year",None,Senior Data Scientist: Insurance / Actuarial Experience
8,Tyro,Australia,"Working closely with data scientists and analysts to track and monitor campaign performance, understand learnings and optimise where relevant....",Sydney NSW,None,None,None,Customer Portfolio Marketing Manager
1,Aurec,Australia,Our award-winning client is seeking a motivated and business savvy Data Scientist to join one of Australia's leading brands....,Sydney NSW,2,None,54.0,Senior Data Scientist
3,Ratio Group,Australia,You can back up your investment ideas with solid data. Research Analyst - Hybrid Debt / Equity....,Sydney Central Business District NSW,None,None,None,Research Analyst - Hybrid Debt / Equity
4,VLC,Australia,"Despite our modest size, we have employees from a number of technical disciplines including civil engineers, urban planners, mathematicians, statisticians, data...",Sydney NSW,None,None,None,Principal / Senior Transport Modeller (Sydney)
5,Correlate Resources,Australia,"A genuine passion to build a career in Data Analytics / Data Science, implementing analytical techniques and concepts such as;...",Sydney NSW,None,"$130,000 - $165,000 a year",None,Senior Data Scientist (Loyalty Marketing)
6,Body and Bone,Australia,This is an exciting opportunity for a degree qualified sports scientist to join our friendly team at Body and Bone....,Bondi Junction NSW,None,None,None,Part-time/ Casual Exercise Scientist
7,Correlate Resources,Australia,"Data Analytics and Data Science is intrinsic with everything they do. As the Customer Analytics Manager - Lead Data Scientist, the responsibilities of this role...",Sydney NSW,None,"$150,000 a year",None,Customer Analytics Manager - Lead Data Scientist
8,Bluefin Resources,Australia,"Analyse and synthesise large amounts of data from multiple sources. Support the research team by conducting primary research (Survey design, implementation,...",Sydney NSW,None,None,None,Research Analyst
0,Ozderm,Australia,Data entry and draft report writing. Previous experience in clinical research and cosmetic trials as investigator or Scientist or study coordinator is required....,Drummoyne NSW,None,None,None,Clinical Research Scientist-Study Coordinator-Cosmetic trials
1,SafetyCulture,Australia,"You will start by managing Data Engineers, Scientists, Software Engineers and QA’s, working with our product team to build out a data driven strategy and grow a...",Sydney NSW,None,None,None,Director of Software Engineering
0,Tectrix Consulting,Australia,"Full-stack, Front end, API Developers, Scrum masters, Agile coaches, Data scientists, Machine Learning, ). Fixed term contract....",Sydney NSW,None,None,None,IT recruiter
0,Proud Sport Science,Australia,We are seeking a Sports Scientist to work in our reputable establishment. The Sports Scientist will be responsible for the following duties on a daily basis:.... read more,Gosford NSW,None,None,None,Sports Scientist
1,ERA Personnel,Australia,"Good computer and data entry skills. We are seeking applications from interested and qualified candidates including recent graduates and experienced Scientists,... read more",North Parramatta NSW,None,None,None,Environmental Scientists - Contract & Permanent Roles
2,On Q Recruitment,Australia,They are seeking an Instrument Scientist to work in the product development team to evaluate and validate image analysis platforms and carry out data analysis.... read more,Sydney NSW,2,None,39.0,Instrument Scientist
3,Onset Group Pty Ltd,Australia,"Work closely with excellent Data Scientists, Designers and Software Engineers to build out new technologies, best practices and new industry standards.... read more",Sydney NSW,None,"$115,000 a year",None,Senior Software Engineer - Python
4,Genesis IT&T Pty Ltd,Australia,"Data centre network and systems administration activities including server deployment, some switch and firewall configuration, troubleshooting, and backup... read more",Sydney NSW,None,None,None,Senior Linux & HPC Administrator
5,Just Digital People,Australia,"Working closely with product managers, engineers, data scientists and researchers to build the product experience from idea conception to launch Must-haves:.... read more",Sydney NSW,None,"$100,000 - $120,000 a year",None,UX/UI Designer
6,Northbridge IT Recruitment,Australia,"Data Scientists will have (ideally) competed in Kaggle competitions, you are highly experienced in Data Science Technology, R programming, Python or Scala.... read more",Sydney NSW,4,"$800 - $1,200 a day",60.0,"DATA SCIENTISTS & BIG DATA ENGINEERS, AI & ML, IT Innovation Team, L/T Contracts"
7,Beaumont People,Australia,"Reporting on data and analytics, and making recommendations for future content based on results. Join a leading medical research Foundation that supports... read more",Sydney NSW,None,None,None,Marketing and Communications Manager
8,Intrax Consulting Engineers,Australia,Provide critical analysis of data to develop and implement practical and commercial solutions four our clientele.... read more,Bankstown NSW,2,None,54.0,Senior Geotechnical Engineer
0,Proud Sport Science,Australia,We are seeking a Sports Scientist to work in our reputable establishment. The Sports Scientist will be responsible for the following duties on a daily basis:....,Gosford NSW,None,None,None,Sports Scientist
1,ERA Personnel,Australia,"Good computer and data entry skills. We are seeking applications from interested and qualified candidates including recent graduates and experienced Scientists,...",North Parramatta NSW,None,None,None,Environmental Scientists - Contract & Permanent Roles
2,On Q Recruitment,Australia,They are seeking an Instrument Scientist to work in the product development team to evaluate and validate image analysis platforms and carry out data analysis....,Sydney NSW,2,None,39.0,Instrument Scientist
4,Genesis IT&T Pty Ltd,Australia,"Data centre network and systems administration activities including server deployment, some switch and firewall configuration, troubleshooting, and backup...",Sydney NSW,None,None,None,Senior Linux & HPC Administrator
6,Northbridge IT Recruitment,Australia,"Data Scientists will have (ideally) competed in Kaggle competitions, you are highly experienced in Data Science Technology, R programming, Python or Scala....",Sydney NSW,4,"$800 - $1,200 a day",60.0,"DATA SCIENTISTS & BIG DATA ENGINEERS, AI & ML, IT Innovation Team, L/T Contracts"
7,Beaumont People,Australia,"Reporting on data and analytics, and making recommendations for future content based on results. Join a leading medical research Foundation that supports...",Sydney NSW,None,None,None,Marketing and Communications Manager
8,Intrax Consulting Engineers,Australia,Provide critical analysis of data to develop and implement practical and commercial solutions four our clientele....,Bankstown NSW,2,None,54.0,Senior Geotechnical Engineer
0,Domain Group,Australia,"We’re looking for a highly motivated Data Analyst. You will be naturally inquisitive and always be looking for anomalies in data, with strong data visualisation... read more",Sydney NSW,4,None,60.0,Junior Data Analyst
1,NSW Education Standards Authority,Australia,"Data Analyst, NAPLAN - 00005N9Y. We are looking for a Data Analyst ensures data relating to NAPLAN accurately reflects rules and business processes during... read more",Sydney NSW,None,"$99,522 a year",None,"Data Analyst, NAPLAN"
2,HelloFresh,Australia,You have at least 1-year previous experience working in a research or data analyst role. You aim to expand your skills to other data analytical tools and... read more,Sydney NSW,108,None,39.6,Junior Data Analyst - Internship
3,TCS,Australia,"We are looking to hire an experienced Analyst for a fantastic opportunity at TCS Sydney,Australia. Basic Eligibility Criteria for applying:.... read more",Sydney NSW,11418,None,51.0,Analyst
4,Experian,Australia,Chedules and performs data conversion and electronic data transmissions. Works with Data Quality team to resolve data quality issues.... read more,Sydney NSW,672,None,42.6,Junior Data Analyst
5,HCF,Australia,An exciting opportunity has arisen for an Analyst to join our Data Analytics team. Automate/ improve data analysis and reporting.... read more,Sydney Central Business District NSW,4,None,42.0,Data Analyst
6,Domain Group,Australia,"We're looking for a highly motivated Data Analyst. You will be naturally inquisitive and always be looking for anomalies in data, with strong data visualisation... read more",Sydney NSW,4,None,60.0,Data Analyst
7,MasterCard,Australia,Knowledge of data processing concepts. Building and maintain the Data Warehouse. Working with several large and complex SQL databases to write Data Definition... read more,Rozelle NSW,279,None,51.6,Data Analyst
8,Westpac Group,Australia,As the Risk Reporting Analyst you will support the Risk Reporting team by assisting with producing and disseminating accurate and timely risk data as well as... read more,Sydney Central Business District NSW,22,None,51.0,Analyst
9,KPMG,Australia,As an Analyst you will utilise your skills to:. Undertake financial modelling on fixed asset registers and construction cost data.... read more,Sydney NSW,3632,None,51.0,Analyst
0,Cisco,Australia,"Graduate Business Intelligence Analyst / Data Scientist. Qualifications related to data analytics, data science, behavioural economics, IT, computer science or...",St Leonards NSW,2927,None,51.6,Business Intelligence Analyst / Data Scientist (Full Time) - Australia
2,Colliers International,Australia,"We are now seeking a professional and proactive Database Coordinator to take the lead on managing and extracting data from our CRM database, analysing and...",Mascot NSW,291,None,51.0,Database Coordinator/Analyst | CRM
4,Avanade,Australia,"As a Graduate Data Scientist, you’ll be involved in the full lifecycle of data and analytics programs with our clients....",Sydney NSW,118,None,43.8,"Graduate, Data Scientist"
5,Grant Thornton,Australia,We are looking for a talented Data Analyst to join our growing consulting practice in Sydney. Experience working with large sets of data – financial data with...,Sydney NSW,744,None,43.8,Data Analyst Associate
6,PageUp People,Australia,Data Analyser - You love to analyse data and turn it into real insight that the business can use. Analyse data to develop tangible insights....,Sydney NSW,None,None,None,Market Research Analyst
7,TAFE Commission,Australia,Business Intelligence Analyst. Business Intelligence Analyst - 00005O6B. Contribute to robust performance reporting and briefings through coordination of...,Sydney NSW,None,"$93,406 a year",None,Business Intelligence Analyst
8,"The Brattle Group, Inc.",Australia,"From day one as a Research Analyst (RA) Intern at Brattle, you will participate in project teams with senior consulting staff and leading international experts....",Sydney NSW,None,None,None,Sydney Research Analyst Intern 2017
9,Government and Corporate Services Division,Australia,Reporting Analyst - 00005M6B. Extracts data from systems to ensure PMO reporting and data validation requirements are met....,Sydney NSW,None,"$105,409 - $116,157 a year",None,Reporting Analyst
2,HelloFresh,Australia,Perform Data Analysis/Predictive modelling which will offer critical value-add information. Highly analytical and with proven in handling of large data...,Sydney NSW,108,None,39.6,Business Intelligence Analyst
3,Vodafone,Australia,Proven experience within data analytics and delivery of projects/insights. You will work to scope and define key strategic Vodafone business challenges...,Sydney NSW,2805,None,51.0,Business Intelligence Analyst
4,GenesisCare,Australia,Business Intelligence Analyst. Provide end user training on the tools and data sources available to support self-service business....,Sydney NSW,3,None,40.8,Business Intelligence Analyst
5,at Prospa,Australia,A strong understanding of Data Visualisation principles. Strong SQL query writing or data transformation experience....,Sydney NSW,None,None,None,Business Intelligence Analyst
8,Vision Australia,Australia,"Vision Australia is looking for an experienced Database Analyst to join our Fundraising Data Team. You will deliver excellent data management, analysis and...",Enfield NSW,15,None,43.2,Database Analyst
0,Blackwoods,Australia,Capturing and analysing data to support business and. Kick-start your career in an exciting graduate....,Sydney NSW,18,None,51.0,Graduate - Customer Service Analyst
1,Nine Entertainment,Australia,"In addition we have a long-running strategic relationship with Microsoft, selling their suite of advertising products while leveraging their world-leading...",Sydney NSW,None,None,None,Reporting Analyst
2,First Data,Australia,Reporting Analyst - (2107970). Identify and integrate data sources external to the First Data business. Experience in data visualisation....,Sydney NSW,1961,None,42.6,Reporting Analyst
3,at Prospa,Australia,Build the “Core Data Layer” from all desired data sources. Ensure that the master data set meets the desired data quality standards....,Sydney NSW,None,None,None,Reporting Analyst
4,Boral Industries,Australia,Leverage existing data and new data from IoT to develop insights for the business. Contributing to IT and data strategy....,Sydney NSW,188,None,43.8,Data Scientist
