,company,country,description,location,review,salary,star,title
7,Singapore Telecommunications Ltd,Singapore,"We are looking for a superstar Data Scientist who will conduct data science research and data mining analysis, build machine learning models and implement...",Singapore,13,None,42.6,Data Scientist - Consulting
8,MediaCorp Pte Ltd.,Singapore,"Work with other teams in MediaCorp to understand business needs, document data and data integration requirements, and resolve conflicting business/data...",Singapore,32,None,42.6,Data Scientist (Consumer Insights and Analytics)
10,Agilent,Singapore,Collect and maintain data required for compliance verification. Experience in analysis of mass spectrometry data and great analytical reasoning....,Singapore,416,None,52.2,"Solution Development Scientist, Food"
12,AIA,Singapore,Using social data to recommend strategic tactics for optimization opportunities. Deep understanding of social data sources and online media landscape a must....,Singapore,2,None,60.0,"Deputy Manager, Social Analyst"
2,David & Goliath Pte Ltd,Singapore,"DATA SCIENTIST (NLP, Regulatory Compliance Technology)*. Data Science NLP:. Using latest data analytics technologies to improve Regulatory Compliance Business...",Singapore,None,None,None,"Data Scientist (NLP, Regulatory Compliance Technology) - perm in Banking"
3,Thermo Fisher Scientific,Singapore,"Ability to work independently, analyze data, troubleshoot and speak in a public setting Ability to travel 50 -70 % of the time....",Woodlands,1441,None,42.6,"Field Application Scientist, Purification"
4,Government Technology Agency,Singapore,"He/she should have some training and working experiences on data analytics, and should be comfortable with hands-on data manipulation, data modelling and data...",Singapore,None,None,None,"Data Analytics, Consultant / Senior Consultant"
5,Element AI,Singapore,Explaining the data audit and data quality control to partners and clients; We are putting together a world-class research and development team to build a...,Singapore,None,None,None,Applied Research Scientist
6,nuTonomy,Singapore,"Deep learning applied to images or video data. NuTonomy aims to be the first company in the world to launch an autonomous taxi system, and we are building up an...",Singapore,None,None,None,Computer Vision - Research Scientist
8,Procter & Gamble,Singapore,"Some knowledge of SAS or JMP for general data manipulation or statistical analysis. Experience with data management from cleaning to preparation for analysis,...",Singapore,3710,None,52.2,Research & Development - Survey Scientist - Singapore
9,Teralytics,Singapore,"You will work as a member of a talented engineering team responsible for Teralytics' global data ingestion pipeline, infrastructure and data quality....",Singapore,None,None,None,Software Engineer (Scala)
10,nuTonomy,Singapore,This data will be distributed to a diverse set of front end tools to allow for fleet management and remote monitoring applications....,Singapore,None,None,None,Backend Software Engineer
11,Element AI,Singapore,Explaining the data audit and data quality control to partners and clients; We are putting together a world-class research and development team to build a...,Singapore,None,None,None,Research Scientist - Machine Learning
3,David & Goliath Pte Ltd,Singapore,"Data Scientist (ML, NLP - TF-IDF, Word2Vec):. Evaluate, recommend and implement solutions in the areas of data ingestion, storage and management through...",Singapore,None,None,None,"Data Scientist (ML, NLP - TF-IDF, Word2Vec) - perm in Banking"
4,David & Goliath Pte Ltd,Singapore,"Data Engineer (Big Data, Hadoop, ETL, Data Science Team):. Hadoop Big Data, Analytics:. With established competencies around *Big Data, Hadoop*....",Singapore,None,None,None,"Data Engineer (Big Data, Hadoop, ETL, Data Science Team) - perm in Banking"
5,AXA,Singapore,Strong experience in data processing. We strengthen the team extending our activity in Singapore and we are looking for a Data Scientist directly reporting to...,Singapore,579,None,44.4,"Assistant Manager, Data Scientist (DIL)"
7,DBS Bank,Singapore,"Develop Big Data processing framework. Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient...",Singapore,220,None,44.4,"AVP, Data Scientist, Investment & Trdg Tech, Technology and Operations"
8,StarHub,Singapore,"Mine large volume of raw, structured and unstructured data using SPSS Statistics, SPSS Modeller, open source R, MtLab, etc on daily basis from network logs...",Singapore,30,None,42.6,"Senior / Analytics Solution Developer, SmartHub"
10,Agilent Technologies,Singapore,Collect and maintain data required for compliance verification. Experience in analysis of mass spectrometry data and great analytical reasoning....,Singapore,416,None,52.2,"Solution Development Scientist, Food"
12,IBM,Singapore,"The Research Scientist role includes the production of scientific knowledge and the invention, design and engineering of complex solutions and services....",Singapore,18085,None,51.0,Research Scientist (IBM Center for Blockchain Innovation)
4,Teralytics,Singapore,Teralytics is a fast-growing data analytics company with great ambitions in the emerging big data economy. We at Teralytics are searching for an exceptionally...,Singapore,None,None,None,Data Scientist (Statistical Modeler)
6,Standard Chartered Bank,Singapore,"(e.g., as a quantitative risk modeller / statistician / data scientist / computational biologist / bioinformatician), including deep expertise and experience...",Singapore,1801,None,51.6,"Senior Analyst, CIC Models"
7,Libbler,Singapore,"Good understanding of investment and quant, macro economy data, fundamental data from multiple data vendors and portfolio analytics....",Singapore,None,None,None,Research Data Manager
9,National University of Singapore,Singapore,Liaise with industry partners to understand their needs and work with the data scientists/research team to design suitable solution architecture....,Queenstown,114,None,51.6,Solutions Architect (Singapore Data Science Consortium)
10,Agilent,Singapore,From sample preparation to data acquisition. Agilent inspires and supports discoveries that advance the quality of life....,Singapore,416,None,52.2,Infrastructure Laboratory Manager
11,Fidel Consulting Japan (Information Technology & S...,Singapore,The data analytics platform. They work with our data scientists to implement and optimize proprietary fraud detection algorithms....,Singapore,None,None,None,Core Developer
3,DSO National Laboratories,Singapore,Macro-level social relationships Design coding frameworks and metrics to analyse data and derive insights on human behaviour and motivation Design and...,Singapore,7,None,42.6,Psychologist / Social Scientist
4,Medtronic,Singapore,"Data analysis in R. The Data Scientist will be responsible for designing and implementing algorithms using predictive / analytical modelling, systematic data...",Singapore,1274,None,51.0,Senior Supply Chain Analyst -12 month contract
5,Argyll Scott,Singapore,"Conduct data exploration, feature engineering, visualization and develop models. Clear communicator, with the ability to articulate ideas with data....",Singapore,None,None,None,Deep Learning Data Scientist
6,Lee Capstone,Singapore,Personal data provided will be used strictly in accordance with the relevant data protection law and Lee Capstone’s personal data protection policy....,Singapore,None,None,None,Data Scientist
7,Accenture,Singapore,"As well as be exposed to the challenges of using statistics in a business setting, such as incomplete data, biased data, large data sets, low signal-to-noise...",Singapore,11394,None,51.0,Data Scientist
8,Lonza,Singapore,Present data at customer meetings. The Senior Scientist will be responsible for delivering commercial stages of work and communicating with internal and...,Tuas,83,None,41.4,Senior Scientist
9,Kenn Organisation International Pte Ltd,Singapore,"Collaborate with our CIO on the definition of activities, scope, and timelines on data science projects. An opportunity exists for an exceptional research...",Singapore,None,None,None,"Research Scientist, Quantitative and Algorithmic Trading"
11,Singtel,Singapore,"Knowledge of Data Warehousing, ETL and data structures. Data analysis in R. Passionate about Data Science....",Singapore,152,None,43.8,Senior Data Science Consultant
2,Lonza,Singapore,Review of laboratory data (both internal and external) and leading closeout deviations/ investigations when necessary....,Tuas,83,None,41.4,"Scientist, QC"
3,National University of Singapore,Singapore,The Senior Data Scientist will provide analytical insights and support to execute the architecture and design conceptualised by the Solutions Architect to meet...,Queenstown,114,None,51.6,Senior Data Scientist (Singapore Data Science Consortium)
5,Cogs Agency,Singapore,"The Data Scientist will be primarily responsible for building data products such as recommendation engines, fraud detection engines and Nature Language...",Singapore,4,None,60.0,Data Scientist (Machine Learning)
6,HackerTrail,Singapore,"Global MNC is seeking a Senior Data Scientist to join their data science hub in Singapore. Ability to identify and visualize relationships within large, not...",Singapore,None,None,None,Senior Data Scientist (SGD 6K - 9K)
7,Asia Fusion Technology,Singapore,"You will play a key role in the data analytic team, building next generation big data analytics capabilities....",Singapore,None,None,None,Data Scientist
8,Institute of High Performance Computing,Singapore,"Cognitive systems development, modelling and simulation, computational intelligence, psychological and social data analysis, network science, machine learning...",West Singapore,None,None,None,Scientist (Cognitively-Inspired Artificial Intelligence) / IHPC (A*STAR)
9,Tate & Lyle,Singapore,Advanced parametric and nonparametric data analysis experience. Skilled in general statistics and comfortable with data analysis....,Singapore,37,None,41.4,Sweetener Scientist
11,General Assembly,Singapore,We are looking for a Data Scientist to teach our brand new full time class:. Why Teach the Data Science Immersive?...,Singapore,111,None,52.8,Lead Data Science Instructor
3,Michael Page,Singapore,"As a Data Scientist, you will be responsible for:. Using data modelling, linear regression, statistical methods and proprietary data to predict new trends and... read more",Singapore,157,None,42.0,Data Scientist
4,Michael Page,Singapore,"As a Data Scientist, you will be responsible for:. Using data modeling, linear regression, statistical methods and proprietary data to predict new trends and... read more",Singapore,157,None,42.0,Data Scientist (IOT)
5,Government Technology Agency,Singapore,"Escorting of vendors to work at data centre or onsite. You will be joining a young, agile multi-disciplinary team of data scientists, software developers and... read more",Singapore,None,None,None,"System Administrator, Big Data"
6,6Estates Pte Ltd,Singapore,Assist to organise unstructured data on website to structured data. 6Estates was founded by data scientists and tech entrepreneurs to solve real world... read more,Singapore,None,None,None,Data Engineer Intern
7,6Estates Pte Ltd,Singapore,Assist Data Scientists on algorithm optimizations. 6Estates was founded by data scientists and tech entrepreneurs to solve real world challenges presented by... read more,Singapore,None,None,None,Data Analyst Intern
8,Burpple,Singapore,"Data Science (Singapore & Malaysia). As such, it has collected a diverse set of visual, textual, unstructured data on businesses, which our Data Science team... read more",Singapore,None,None,None,Creative Intern
9,Agilent Technologies,Singapore,From sample preparation to data acquisition. Agilent inspires and supports discoveries that advance the quality of life.... read more,Singapore,416,None,52.2,Infrastructure Laboratory Manager
10,JJ Consulting Services,Singapore,Quantitative models and data analysis:. Possess strong business foundation to apply data science methodologies to business problems and demonstrate proven... read more,Singapore,None,None,None,"Director, Predictive Analytics"
11,Manpower,Singapore,Determines sustainable processes to support fast growing data volumes and ensuring of data quality and data accessibility together with the data architect.... read more,HarbourFront,11206,None,44.4,Data Scientist
12,Globesoft Services,Singapore,"Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends, the ""magic"" behind dating, and provide... read more",Singapore,None,None,None,Lead Data Scientist
3,Huxley IT,Singapore,"Possess 2 to 5 years' experience in data mining, data analysis, model building, statistical modelling, predictive analytics and machine learning algorithms....",Singapore,None,None,None,Data Scientist
4,DFGR - Digital Forensics Global Recruitment,Singapore,"They are currently seeking an experienced Data Scientist for the R&D department. Bachelor Degree in Computer Science, Computer Engineering, Mathematics, Data...",Singapore,None,None,None,Data Scientist
5,ACI HR Solutions,Singapore,Analyze internal data and. Data analysis tools such as Tableau and Qlikview. Build reports and data visualizations that best communicate the....,Singapore,None,None,None,Data Scientist
7,Agilent Technologies,Singapore,From sample preparation to data acquisition. Agilent inspires and supports discoveries that advance the quality of life....,Singapore,416,None,52.2,Infrastructure Laboratory Manager
9,JJ Consulting Services,Singapore,Quantitative models and data analysis:. Possess strong business foundation to apply data science methodologies to business problems and demonstrate proven...,Singapore,None,None,None,"Director, Predictive Analytics"
11,Globesoft Services,Singapore,"Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends, the ""magic"" behind dating, and provide...",Singapore,None,None,None,Lead Data Scientist
7,Agilent,Singapore,"Collect and review business data relevant to LC/MS and GC/MS such as funnel information, win/loss, competitive pricing, installed base for both Agilent and...",Singapore,416,None,52.2,Mass Spectrometry Product Specialist
8,Durshi International Pte. Ltd.,Singapore,"Minimum 5 years of research experience in the field of Mathematical modeling and Simulation, Data analytics and Optimization....",Singapore,None,None,None,Sr. Data Scientist (Machine Learning/ Data Analytics/ Simulation)
10,Singapore General Hospital,Singapore,"You will be required to evaluate literature independently, analyse and apply appropriate sources of laboratory data and statistics, and write reports for the...",Singapore,63,None,43.2,Senior Medical Laboratory Scientist (Central TB Lab)
12,Prime Insight,Singapore,"As a Data Scientist, you will be part of one of Southeast Asia’s strongest technology teams working on high impact data science project....",Singapore,None,None,None,Data Scientist and Machine Learning
3,Kerry Consulting,Singapore,You will be the pioneer Data scientist in the team to bring analytics insights. A leading bank in Asia is recruiting an experience Data Scientist with in depth...,Singapore,None,None,None,Data Scientist
7,Institute of High Performance Computing,Singapore,"Experience in large scale machine learning, large scale data processing, recommender systems, deep learning, and reinforcement learning....",West Singapore,None,None,None,Scientist (AI for Automated Model Building) / IHPC (A*STAR)
8,Google,Singapore,"You'll utilize and combine your quantitative rigour and business acumen to identify business trends and opportunities, to design optimal workflows, to align...",Singapore,1790,None,52.8,"Strategy and Sales Operations Lead, Regional Partners, Google Cloud"
3,Kerry,Singapore,Job title is dependent on quality and quantity of experience and we can consider someone at Scientist or Senior Scientist level for the position ....,Singapore,127,None,40.8,RDA (Senior) Scientist - Dairy Beverage
4,Agilent,Singapore,Collect and maintain data required for compliance verification. Agilent inspires and supports discoveries that advance the quality of life....,Singapore,416,None,52.2,"Solution Development Scientist, Biopharma"
5,Agilent,Singapore,Collect and maintain data required for compliance verification. Agilent inspires and supports discoveries that advance the quality of life....,Singapore,416,None,52.2,"Solution Development Scientist, Pharmaceutical"
6,Honestbee,Singapore,"Working closely with Data Scientists and Data Engineers to build out data products. At honestbee, the data team works on all things data....",Singapore,10,None,41.4,Software Engineer (Data Products)
7,Skyscanner,Singapore,What you can expect as a data scientist. Are you an inspirational Data Scientist - translating business problems into quantitative solutions?...,Singapore,3,None,51.0,Data Science Manager – Singapore
8,Ministry of National Development,Singapore,"Merging data, transforming data), software programming, data analytics, visual analytics (e.g. Economics, Statistics, Applied Mathematics, Computer Science,...",Singapore,6,None,42.0,Economist/ Statistician/ Mathematician/ Data Scientist
10,Google,Singapore,"You'll utilize and combine your quantitative rigour and business acumen to identify business trends and opportunities, to design optimal workflows, to align...",Singapore,1790,None,52.8,"Strategy and Sales Operations Lead, Inside Sales, Google Cloud"
11,Kenn Organisation,Singapore,"Experienced in working with large datasets of historical price data. Collaborate with our CIO on the definition of activities, scope, and timelines on data...",Singapore,None,None,None,Quantitative and Algorithmic Trading Researcher
12,Hanalytics Pte Ltd,Singapore,Work beside passionate and driven experts in the fields of healthcare and data science to construct high-end data analytics and Deep Learning products that will...,Raffles,None,None,None,Software Developer - Staff Engineer
4,Agilent Technologies,Singapore,Collect and maintain data required for compliance verification. Agilent inspires and supports discoveries that advance the quality of life....,Singapore,416,None,52.2,"Solution Development Scientist, Biopharma"
5,Agilent Technologies,Singapore,Collect and maintain data required for compliance verification. Agilent inspires and supports discoveries that advance the quality of life....,Singapore,416,None,52.2,"Solution Development Scientist, Pharmaceutical"
6,Merck KGaA,Singapore,"Hiring, retaining and coaching the respective lab scientist. Computer literacy and entry of data into databases (LIMS, ELN, etc.)....",Singapore,24,None,44.4,Lab Manager - Viral Clearance
7,Merck KGaA,Singapore,"Hiring, retaining and coaching the respective lab scientist. Computer literacy and entry of data into databases (LIMS, ELN, etc.)....",Singapore,24,None,44.4,Lab Manager - Biosafety Testing (Lot Release)
8,SR Recruitment Consultancy,Singapore,Experience 5 to 7 Years Educational Qualification Doctorate Skills Electrical Salary -- Career Level Executive (Assistant Manager/Manager) Job Type...,Singapore,None,None,None,Scientist
11,Skyscanner,Singapore,"You might not be a data scientist, but you long to harness data more to validate your designs. You are data aware, informed and driven, (We’re not talking about...",Singapore,3,None,51.0,Product Designer – Singapore
12,Centre for Quantum Technologies,Singapore,To assist senior scientists in data acquisition and to liase with industry partners. The Centre currently has two vacancies for Research Assistants to work on...,Singapore,None,None,None,Research Assistants (Quantum Key Distribution over Telecom Fibers)
3,Asia Genomics Pte Ltd,Singapore,"Collect and analyze market intelligence, customer segmentation and marketing data analytics in order to grow the Company's brand and market access....",Singapore,None,None,None,Marketing Manager
4,Hays,Singapore,You will also provide data and reports whilst validating new analytical methods. Analytical Chemist job in Singapore....,Singapore,466,None,42.6,Analytical Scientist
6,Ministry of National Development,Singapore,"Merging data, transforming data), software programming, data analytics, visual analytics (e.g. Economics, Statistics, Applied Mathematics, Computer Science,...",Singapore,6,None,42.0,Economist/Statistician/Mathematician/Data Scientist (Part-Time)
9,Kerry Consulting,Singapore,A Global European bank is recruiting an experience Audit Analytics Data Scientist. You should have a good track record of delivering high impact predictive data...,Singapore,None,None,None,Data Scientist - Predictive Audit Analytics
11,National Neuroscience Institute,Singapore,"Data include sequence, gene expression, ultra-high throughput sequencing, proteomics, metabonomics, and high-content cellular screening data....",Singapore,None,None,None,Research Associate (Bioinformatics)
12,SAP,Singapore,Comfortably handle multi-terabyte data sets in scale-up and scale-out environments. Proficiency in handling of multi-terabyte datasets in big data frameworks....,Singapore,897,None,52.8,Machine Learning Developer
2,Nokia,Singapore,Role of Market Sales Manager is to drive Sales in Cloud and Data Center business in line with Nokia’s business strategy for CSP and non-CSP segment....,Singapore,2412,None,51.6,APJ Sales Manager (Cloud and Data Center)
3,Agri-Food and Veterinary Authority of Singapore,Singapore,"Degree from a recognized university with strong scientific background in aquaculture, marine engineering/environmental engineering, data analytics;...",Singapore,2,None,39.0,Scientist (Aquaculture)
4,HeadHunt,Singapore,"As such, several positions become available and one of these is Data Scientist. Bachelor’s Degree or higher, with sSpecialization in Data Science, Data...",Singapore,None,None,None,Data Scientist
5,HeadHunt,Singapore,We are looking for a data scientist to join our team. Minimum 2 years’ experience in data analysis/machine learning/deep learning....,Singapore,None,None,None,Data Scientist - Hewlett Packard Enterprise
7,NVIDIA,Singapore,"Experience working with cloud developers and academic research community supporting computer vision, data analytics, or Deep Learning....",Singapore,139,None,52.2,Senior Solutions Architect
8,Institute of High Performance Computing,Singapore,"Proficiency and hands-on experience in software and data systems development languages, tools, frameworks, and data analytics and machine learning software...",West Singapore,None,None,None,Research Engineer (Psychological and Cognitive AI solutions)
3,Institute of Bioengineering and Nanotechnology,Singapore,Experience in analyzing NGS data. Experience in analyzing gene expression data from microarrays and RNA sequencing....,Singapore,None,None,None,Postdoctoral Fellow/Research Scientist (Bioinformatics)
7,ThreatMetrix,Singapore,"Math majors not required, but you should be comfortable doing data analysis and making policy recommendations that will be reviewed by internal and customer...",Central Singapore,2,None,39.0,Solutions Consultant / Pre-Sales
10,Ecosystm,Singapore,"Data analyst / Senior Data analyst*. Analyse data using statistical software, tools and techniques. Cannot say enough that you absolutely love playing with data...",Singapore,None,"$3,000 - $5,000 a month",None,Data Analyst / Senior Data Analyst
11,Monetary Authority of Singapore,Singapore,Over 3 years of experience in a relevant function such as quantitative analyst / data scientist; Supervisory Technology Office is under the Data Analytics Group...,Singapore,7,None,43.2,"Deputy Director / Assistant Director, Financial Quantitative Analytics"
5,Corporate Talent Pte Ltd,Singapore,Experience with commercial Data Analytics software. Responsible to lead in the testing of hypotheses and big data analytics....,Jurong,None,None,None,DATA SCIENTIST
7,SAP,Singapore,Comfortably handle multi-terabyte data sets in scale-up and scale-out environments. Proficiency in handling of multi-terabyte datasets in big data frameworks....,Singapore,897,None,52.8,"Machine Learning / Deep Learning Developer , SAP Singapore"
8,Agilent,Singapore,Maintains and update material safety data sheets for all department chemicals and products. Through a comprehensive set of lab productivity and total workflow...,Singapore,416,None,52.2,Test Technician
